"EntrezGeneID","Variance"
"22373",24.2646825058527
"12797",24.2019757223867
"11475",23.8597068331371
"11468",23.7718076313256
"14663",23.6249135336657
"24117",23.5382899427853
"14264",23.5259362619946
"110308",23.4328374563989
"17880",23.1603292597916
"16008",22.8170679605683
"22004",22.2158565509633
"12993",22.047823885266
"57266",21.9562826079904
"12992",21.8514353669399
"98932",21.226618778321
"107589",21.091682975155
"252837",20.5456952393408
"100470",20.5162218551487
"78896",20.5115256731189
"50916",20.1520237704927
"12818",20.1042652068173
"109205",19.9985924211281
"12293",19.8753488096571
"16533",19.8630048149099
"208936",19.7516747167074
"56069",19.7406808722324
"12373",19.7163324515904
"14313",19.6261138708073
"211323",19.4862420430961
"12991",19.4247745937578
"59091",19.4169772761174
"17540",19.0795518444815
"104001",19.0717544290959
"65256",19.0243192227809
"226922",18.9939668768295
"22061",18.8572615044725
"100861621",18.6496928935636
"100689",18.5749707886585
"20272",18.5664354696336
"330222",18.545629937562
"22420",18.5267843379652
"12338",18.4836889848767
"19699",18.4354570564327
"74002",18.3942809728205
"18213",18.1928061108255
"14726",18.1887232469228
"77481",18.1549267212296
"237979",18.0462415425499
"55987",17.9354180340544
"50706",17.8313333197474
"54216",17.7637269917014
"17181",17.659990068032
"12821",17.5745046963438
"21804",17.5625590456943
"56747",17.4465571420996
"22409",17.1530468456017
"23964",17.1285743316352
"56191",17.0657800605321
"58178",17.0264385381673
"16846",16.7854870398501
"16667",16.783468950015
"59012",16.7160545726317
"233335",16.6802041215668
"77220",16.5826567083754
"50786",16.5460690454424
"72902",16.5288230646347
"233271",16.5250932212352
"21345",16.3637181744783
"26950",16.3525355312219
"68810",16.3436805945275
"16009",16.1823301135998
"20583",16.1363661140638
"432987",16.0060334130397
"545370",15.9797499167709
"170643",15.9785034605519
"16664",15.9134566259121
"21990",15.7993808105157
"118449",15.7844326298226
"13388",15.6729601049944
"12836",15.6585871592129
"244698",15.6499047466954
"22240",15.6468835722065
"67516",15.6315168962718
"214112",15.5186553390031
"15552",15.5026921306496
"18164",15.4560844589308
"216049",15.4364909529017
"12990",15.42034634932
"16531",15.4182756218252
"170638",15.3337372196486
"100042150",15.3260697145447
"12560",15.2447404606157
"329366",15.2162535972497
"270190",15.1272434999294
"93960",15.0503827972624
"12064",14.9702578518601
"12291",14.9662640954086
"171171",14.8888151548903
"12709",14.8515533876055
"12814",14.764448641461
"24050",14.7166239906926
"21367",14.6685590541147
"52377",14.657299906409
"15234",14.6534475629952
"73569",14.6496550944582
"629378",14.639006997764
"192200",14.6332348606457
"110935",14.6227102758719
"231532",14.6085207773738
"228911",14.603465702128
"14451",14.5520373103777
"16774",14.5374907231427
"21835",14.5273186860122
"66042",14.5034970402212
"140474",14.401736504914
"26362",14.3900664977392
"64082",14.3573637035303
"242050",14.2706859368509
"11754",14.2633537844647
"15117",14.2429903077965
"23888",14.2107859249398
"14621",14.1923276245105
