"","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"497097",4.2444219795834,3.79398416312092,1.47885591965649,3.3991319050976,4.04766896598063,3.85132583175734,-3.48617522965634,-3.48617522965634,-3.48617522965634,-3.48617522965635,-3.48617522965634,-3.48617522965635
"20671",2.21867481668896,3.07896541142642,1.8044321411295,2.23989493504397,1.06156302187469,2.06610040738364,-0.194052210378292,0.311941345112854,-0.154019553063406,-1.14190394974317,-2.24742198546059,-1.01487824121175
"27395",3.74393088970608,3.43814573920629,3.81532149546986,3.73664229644152,3.76168956389504,3.76379602476202,4.78455656831404,4.42444604640356,4.46471741157916,3.90785498460482,3.64483495938899,3.80341395063143
"18777",4.81613189294517,4.569713991268,5.30155351238919,5.37007198874791,5.43322103458415,5.30825800172493,5.34376642647901,5.31523813245437,4.91316779634904,4.88146489104073,4.46571186462959,4.56415754501894
"21399",6.11214715017321,6.1036569364635,6.16037466617913,5.86338584743195,5.75331089015936,5.73787736904883,6.03410362884325,5.85959203378226,5.58855821902202,5.39962159422253,4.367346562394,4.34842886044408
"58175",-1.93501060325268,-2.46500768392551,-0.577002779426999,-1.91165487249866,-2.45666316121395,-2.40203294545964,3.07534135486931,2.94361150185848,2.65430565353732,1.49500556241853,0.240602060190442,-0.51935138241905
"108664",5.05354802967385,5.11416460695909,5.46502785492441,5.4479916912439,5.53359209958389,5.49890322769859,6.08399141685051,6.04420854149731,6.30980630405933,6.16005047725567,5.75201202651686,5.71860755940054
"12421",6.00979018568699,6.0213615866427,5.58839361052898,5.41851849441242,6.22054350637483,6.30207066640557,5.95416895604381,5.94625066227233,5.85832209496171,5.86358505691981,4.86267177733897,4.66217517997206
"319263",5.85736615394541,5.83655794502691,5.83596408772066,6.13749356720904,6.56017541663979,6.63151152666547,5.7364908079827,5.47175353858053,5.544753214078,5.70404324667341,5.8534087196245,5.8892485549111
"59014",6.18825390867613,6.37758198272117,6.46560397775152,6.19076764303442,5.20692426446712,4.76966151844809,5.88997734312424,5.6278056818134,5.59930475744096,5.43342568025201,3.96189684610685,4.0600071066925
"76187",-0.210063839505529,-0.361564894808997,-0.49032794842974,0.0230663221106922,0.26828526366663,0.365961057100441,0.448598872900711,1.39173591555504,2.96799772077663,3.1780472287696,3.3336054168373,3.3661309076996
"72481",-1.71506288590866,-2.13888309532882,-2.22590797442769,-1.91165487249866,-0.18585572532392,-0.537445834301097,0.0304309440375549,-0.357488842436475,0.382384732465344,1.32205554546065,-0.290879596068706,-0.795868729792745
"76982",-0.283792212802231,-1.45453924884346,-0.49032794842974,-0.178361957803391,1.99718967979696,1.97732998521192,-1.57982257432171,-1.12682166503222,-1.01744281915695,-1.29452303742659,-1.59091526024351,-1.77568924350542
"17864",5.04416244056814,4.62984152493022,3.58021796174578,3.5426467149169,4.0637922067312,3.82612840548568,3.66081006285788,3.85018246563133,2.67477203299274,2.70118526243181,0.737192110004198,1.05438295818256
"70675",6.0165246965151,5.9862462899326,5.5632840676442,5.49675434985047,5.78039482628862,5.58103001053945,6.1788720974176,6.23812046602676,6.02501454592415,5.87704771739266,4.26481974326818,4.13852656509515
"170755",3.60274579364336,3.42586440835382,2.61068509790945,2.70779963239151,3.31318898455562,3.5465130157132,3.35670460128597,2.96930784692961,1.35767723230564,1.44767014323886,0.838579951562311,0.631811941969883
"620986",1.44175326502455,1.72462768411762,1.32003305603155,1.49862603289826,1.54771812493832,1.42661740858984,2.65979747064464,2.47856143630868,1.63338073826845,1.18445155646478,0.510158838725485,0.0878063964279906
"73824",3.93072512851707,4.07919058752165,4.14475940485188,4.00601440147797,3.19372761608748,2.95159799108571,4.31883831734446,4.11863411598598,3.22551520405927,3.14132829786291,1.9453907485475,1.94920050996232
"266793",-0.943585252967751,-0.750093349557328,-0.873475786215351,-0.499896103815525,-1.11731332381388,-2.06384965417232,-1.0538135461792,-1.64535858583767,-2.15742069714772,-2.47217024111218,-2.24742198546059,-3.48617522965635
"100038398",1.5087926374247,0.0758092502358959,0.0620240303411439,0.406075110358413,-0.434918657927444,-0.0161549048937833,-0.91389584491372,-0.862248737909343,-1.4776472177213,0.446749003313673,-0.221190735956179,-0.51935138241905
"26754",5.61266483675687,5.59606481569995,5.60939840702351,5.51078816037788,5.47601957401731,5.35657389633043,6.23256642358853,6.30523720868499,6.00494870398345,5.79550236252522,4.89637622960284,4.95600368948156
"211660",4.85529823851339,4.80364502053512,4.36126374988066,4.26638977128149,4.6595095771775,4.78804722385248,4.78712218524612,4.84802238823183,4.39550065170338,4.50448544856087,3.35657820710759,3.44347610978722
"211673",7.21481884328911,7.3720144793467,7.10047858618471,7.03778718088139,7.11573413151981,7.11511170642521,7.50578207657341,7.34833345819846,7.08550962813135,7.13086514542856,6.53493155933727,6.48953184945753
"329093",2.01851923705162,2.49769458058991,1.91971163187953,1.4759137797658,1.76051208538498,1.69507092687619,-3.48617522965634,-3.48617522965634,-3.48617522965634,-3.48617522965635,-3.48617522965634,-3.48617522965635
"109294",4.0704228254422,4.67204845493071,2.61068509790945,2.71751335651381,2.69037416485669,3.02429984598001,2.76765702844709,2.8172447474366,0.224753364845503,0.862247146071925,1.37704616590151,0.874561981350406
"240725",5.25410639169626,5.4731401767498,3.78956989009502,4.56697011303046,4.35007350193704,4.2235380947449,1.10408285447214,1.58141208247905,-0.891740264399963,-0.762113793624131,-0.290879596068706,-0.360653778313098
"240726",0.787347618274731,-0.361564894808997,0.0620240303411439,-1.03956954669025,-0.852356091739677,-1.56006699571847,-0.460018742051574,-1.2798513516003,-0.154019553063406,-1.14190394974317,-2.94682779076513,-3.48617522965635
"383491",-1.20490064694113,-0.750093349557328,-0.669219625548451,-0.692259855550942,-0.11155251629409,-0.253382506334422,-1.57982257432171,-0.988478744464352,-1.67069725041016,-2.14745738936191,-3.48617522965634,-3.48617522965635
"17978",6.66621835995453,6.85388343849001,7.04532824658324,6.92073500436944,7.2214778045523,7.29759271217718,6.8556664760504,6.87273651070477,6.02401785457205,5.85226940401943,4.86667812003819,4.91197481778195
"72265",5.99330286055084,6.09010079040306,5.87219770701817,5.83354785280873,5.57777041876947,5.56436502783786,6.83968975352318,6.96928353609138,7.47171935771553,7.13600684607107,7.52634445003628,7.55316939670252
"212442",2.62342350405353,2.47403217439149,2.50915212024289,2.45258383639553,3.07942250155874,3.15955735737069,3.85428090462933,3.94388634981222,3.19040872316385,3.06496194033448,3.80789738707851,3.94312581120584
"14048",3.60274579364336,4.16297164640838,4.10355145335005,4.0217807751242,4.53492375241763,4.95542230181532,-2.85416728279109,-2.46267078606135,-2.8974162765354,-2.89186098027388,-3.48617522965634,-2.94561017678329
"17681",-1.71506288590866,-2.46500768392551,-2.22590797442769,-2.4939997431947,-2.45666316121395,-2.84457618692174,1.4788989314725,1.08202236324671,0.772516156036786,-0.291445693009931,-2.94682779076513,-2.55329449750217
"21749",3.55067081426729,3.44424742028329,2.92642341188809,2.70779963239151,2.98943987764317,3.47698291035128,3.40427347232138,3.35445926820219,2.77296291258915,2.66024388392168,2.65971638462499,2.32116923140794
"226866",4.98456801433074,5.41063268702354,3.99506779644915,4.12392180132013,3.52016075720964,3.61872736047436,-0.78635622963737,-0.538783760697702,-2.15742069714772,-0.06861418640104,-3.48617522965634,-2.94561017678329
"19989",9.22739441992065,9.59253761169338,9.21439413417909,9.09955821968476,8.81482415682891,8.75658682992153,9.52968193757477,9.42541061706532,9.08658970490808,8.95651238857366,7.27787505552581,7.25597042536884
"98711",6.64526535450582,6.4184466365927,6.23223241167977,5.79162986698504,5.89409589993458,6.11811773007667,4.73492238201953,5.13398359841081,4.80591867457399,4.79663829769752,2.2329509850668,2.16029122172165
"29819",4.09608301585181,4.27333339962488,4.47334145689553,4.36238693217078,4.35663240134004,4.18441553363532,4.37789950788829,4.49984914477838,4.4047194897324,4.02938632176525,2.96640646298499,3.18495316783489
"66799",5.01755323337045,5.04959431360743,4.88962531217651,4.84690962536537,5.29322076765498,5.16688873744375,4.33996062406467,4.22556671056661,3.96391092272719,3.93814102742388,3.08807043184723,3.21046567948612
"67923",7.07065223521142,7.06856588264935,6.81795147024404,6.61643950278836,6.62000873723778,6.63005630607778,6.04807585201585,5.83883241797183,5.3784693777782,5.19805654074253,4.47885829549296,4.41303374602208
"70397",4.39081745965423,4.30385394540615,4.65545114075048,4.5316162943347,4.55217005210986,4.55025541185729,4.43136115822073,4.15640945008225,4.23593671081667,4.09997434538571,4.18685197065342,4.36556320667504
"17087",0.595072616554686,0.0758092502358959,1.22075420364267,0.820849821578786,1.32502229998962,0.712458557044267,1.91398796969971,2.06724264608458,2.92592981303356,2.73114642065884,2.13004689693059,1.87136638355399
"57339",3.11439444987764,2.91290053365683,3.16543064393388,3.02968509148491,2.67995157478503,2.46909684741814,2.05691207127654,1.23108160133334,1.35767723230564,1.0951136747589,0.838579951562311,0.874561981350406
"14545",-2.51144911667672,-2.46500768392551,0.00348862806396423,-0.178361957803391,-0.434918657927444,-0.763583903340525,-2.416170124349,-2.46267078606135,-2.8974162765354,-2.89186098027388,-3.48617522965634,-2.94561017678329
"94227",2.41785966265942,3.43814573920629,2.83706385121125,3.6015356233459,2.40414229941465,1.95890110530922,-0.669181496700618,-0.862248737909343,-1.89362978828622,-2.89186098027388,-2.55515032189203,-2.55329449750217
"83691",4.18074933623531,5.14446081255221,3.71856332106428,3.7270569441331,3.58862330349788,3.71521321411533,-0.91389584491372,-0.862248737909343,-1.67069725041016,-2.14745738936191,-2.94682779076513,-1.42205299639875
"21419",6.20856111764372,6.14638709538953,6.00493944145194,6.30308838530441,6.61932706977608,7.04367618638629,6.55734935466724,6.28662083593636,3.18328373682152,1.51810332026962,2.03356119494673,1.82256709401313
